Graph Name,Rank,No of sources of Evidences,Controller,Allocated Switch
ABVT,Rank 4,2,10,20
ABVT,Rank 4,2,10,3
ABVT,Rank 4,2,5,12
ABVT,Rank 4,2,5,0
ABVT,Rank 4,3,1,8
ABVT,Rank 4,3,1,4
ABVT,Rank 4,3,1,5
ABVT,Rank 4,3,1,12
ABVT,Rank 4,3,1,22
ABVT,Rank 4,3,1,9
ABVT,Rank 4,3,1,15
ABVT,Rank 4,3,1,6
ABVT,Rank 4,3,21,19
ABVT,Rank 4,3,21,18
ABVT,Rank 4,3,21,11
ABVT,Rank 4,3,21,17
ABVT,Rank 4,3,21,16
ABVT,Rank 4,3,7,0
ABVT,Rank 4,3,10,2
ABVT,Rank 4,3,10,13
ABVT,Rank 4,3,10,14
ABVT,Rank 4,3,10,20
ABVT,Rank 4,3,10,3
ABVT,Rank 4,4,11,19
ABVT,Rank 4,4,11,13
ABVT,Rank 4,4,11,18
ABVT,Rank 4,4,11,14
ABVT,Rank 4,4,11,22
ABVT,Rank 4,4,11,17
ABVT,Rank 4,4,11,15
ABVT,Rank 4,4,11,16
ABVT,Rank 4,4,11,21
ABVT,Rank 4,4,1,8
ABVT,Rank 4,4,1,4
ABVT,Rank 4,4,1,5
ABVT,Rank 4,4,1,12
ABVT,Rank 4,4,1,9
ABVT,Rank 4,4,1,6
ABVT,Rank 4,4,0,7
ABVT,Rank 4,4,2,20
ABVT,Rank 4,4,2,3
ABVT,Rank 4,4,2,10
ABVT,Rank 5,2,11,13
ABVT,Rank 5,2,11,18
ABVT,Rank 5,2,11,22
ABVT,Rank 5,2,11,17
ABVT,Rank 5,2,11,15
ABVT,Rank 5,2,11,16
ABVT,Rank 5,2,11,21
ABVT,Rank 5,2,1,8
ABVT,Rank 5,2,1,4
ABVT,Rank 5,2,1,9
ABVT,Rank 5,2,1,6
ABVT,Rank 5,2,1,7
ABVT,Rank 5,2,10,19
ABVT,Rank 5,2,10,2
ABVT,Rank 5,2,10,14
ABVT,Rank 5,2,10,20
ABVT,Rank 5,2,10,3
ABVT,Rank 5,2,5,12
ABVT,Rank 5,2,5,0
ABVT,Rank 5,3,1,8
ABVT,Rank 5,3,1,4
ABVT,Rank 5,3,1,5
ABVT,Rank 5,3,1,12
ABVT,Rank 5,3,1,22
ABVT,Rank 5,3,1,9
ABVT,Rank 5,3,1,15
ABVT,Rank 5,3,1,6
ABVT,Rank 5,3,21,19
ABVT,Rank 5,3,21,18
ABVT,Rank 5,3,21,11
ABVT,Rank 5,3,21,17
ABVT,Rank 5,3,21,16
ABVT,Rank 5,3,7,0
ABVT,Rank 5,3,10,2
ABVT,Rank 5,3,10,13
ABVT,Rank 5,3,10,14
ABVT,Rank 5,3,10,20
ABVT,Rank 5,3,10,3
ABVT,Rank 5,4,11,19
ABVT,Rank 5,4,11,13
ABVT,Rank 5,4,11,18
ABVT,Rank 5,4,11,14
ABVT,Rank 5,4,11,22
ABVT,Rank 5,4,11,17
ABVT,Rank 5,4,11,15
ABVT,Rank 5,4,11,16
ABVT,Rank 5,4,11,21
ABVT,Rank 5,4,1,9
ABVT,Rank 5,4,1,6
ABVT,Rank 5,4,1,8
ABVT,Rank 5,4,1,4
ABVT,Rank 5,4,0,7
ABVT,Rank 5,4,2,20
ABVT,Rank 5,4,2,3
ABVT,Rank 5,4,2,10
ABVT,Rank 5,4,5,12
AGIS,Rank 1,2,9,8
AGIS,Rank 1,2,9,24
AGIS,Rank 1,2,9,5
AGIS,Rank 1,2,9,23
AGIS,Rank 1,2,9,12
AGIS,Rank 1,3,5,6
AGIS,Rank 1,3,5,4
AGIS,Rank 1,3,5,1
AGIS,Rank 1,4,9,4
AGIS,Rank 1,4,9,15
AGIS,Rank 1,4,9,19
AGIS,Rank 1,4,9,18
AGIS,Rank 1,4,9,17
AGIS,Rank 1,4,9,10
AGIS,Rank 1,4,9,7
AGIS,Rank 1,4,9,21
AGIS,Rank 1,4,9,2
AGIS,Rank 1,4,9,5
AGIS,Rank 1,4,9,23
AGIS,Rank 1,4,9,14
AGIS,Rank 1,4,9,11
AGIS,Rank 1,4,9,6
AGIS,Rank 1,4,9,16
AGIS,Rank 1,4,9,8
AGIS,Rank 1,4,9,24
AGIS,Rank 1,4,9,13
AGIS,Rank 1,4,9,1
AGIS,Rank 1,4,9,12
AGIS,Rank 1,4,9,20
AGIS,Rank 1,4,9,22
AGIS,Rank 1,4,9,3
AGIS,Rank 1,4,9,0
AGIS,Rank 2,2,9,8
AGIS,Rank 2,2,9,2
AGIS,Rank 2,2,9,24
AGIS,Rank 2,2,9,5
AGIS,Rank 2,2,9,23
AGIS,Rank 2,2,9,13
AGIS,Rank 2,2,9,12
AGIS,Rank 2,2,9,11
AGIS,Rank 2,2,9,10
AGIS,Rank 2,2,9,15
AGIS,Rank 2,2,9,16
AGIS,Rank 2,2,19,4
AGIS,Rank 2,2,19,1
AGIS,Rank 2,2,19,18
AGIS,Rank 2,2,19,0
AGIS,Rank 2,2,19,20
AGIS,Rank 2,2,19,14
AGIS,Rank 2,2,19,17
AGIS,Rank 2,2,19,22
AGIS,Rank 2,2,19,6
AGIS,Rank 2,2,19,3
AGIS,Rank 2,2,19,7
AGIS,Rank 2,2,19,21
AGIS,Rank 2,3,5,4
AGIS,Rank 2,3,5,1
AGIS,Rank 2,3,5,6
AGIS,Rank 2,3,5,3
AGIS,Rank 2,3,5,0
AGIS,Rank 2,3,7,19
AGIS,Rank 2,3,7,21
AGIS,Rank 2,3,7,20
AGIS,Rank 2,4,9,16
AGIS,Rank 2,4,9,8
AGIS,Rank 2,4,9,4
AGIS,Rank 2,4,9,2
AGIS,Rank 2,4,9,24
AGIS,Rank 2,4,9,5
AGIS,Rank 2,4,9,13
AGIS,Rank 2,4,9,23
AGIS,Rank 2,4,9,12
AGIS,Rank 2,4,9,1
AGIS,Rank 2,4,9,14
AGIS,Rank 2,4,9,11
AGIS,Rank 2,4,9,10
AGIS,Rank 2,4,9,15
AGIS,Rank 2,4,9,6
AGIS,Rank 2,4,9,3
AGIS,Rank 2,4,9,0
AGIS,Rank 2,4,19,18
AGIS,Rank 2,4,19,20
AGIS,Rank 2,4,19,17
AGIS,Rank 2,4,19,22
AGIS,Rank 2,4,19,7
AGIS,Rank 2,4,19,21
AGIS,Rank 3,2,9,8
AGIS,Rank 3,2,9,24
AGIS,Rank 3,2,9,5
AGIS,Rank 3,2,9,23
AGIS,Rank 3,2,9,13
AGIS,Rank 3,2,9,12
AGIS,Rank 3,2,9,11
AGIS,Rank 3,2,9,10
AGIS,Rank 3,2,19,18
AGIS,Rank 3,2,19,20
AGIS,Rank 3,2,19,14
AGIS,Rank 3,2,19,17
AGIS,Rank 3,2,19,22
AGIS,Rank 3,2,19,7
AGIS,Rank 3,2,19,21
AGIS,Rank 3,2,6,1
AGIS,Rank 3,2,6,4
AGIS,Rank 3,3,5,4
AGIS,Rank 3,3,5,1
AGIS,Rank 3,3,5,6
AGIS,Rank 3,3,5,3
AGIS,Rank 3,3,5,0
AGIS,Rank 3,3,7,19
AGIS,Rank 3,3,7,21
AGIS,Rank 3,3,7,20
AGIS,Rank 3,3,2,23
AGIS,Rank 3,3,2,22
AGIS,Rank 3,4,9,8
AGIS,Rank 3,4,9,24
AGIS,Rank 3,4,9,5
AGIS,Rank 3,4,9,13
AGIS,Rank 3,4,9,23
AGIS,Rank 3,4,9,12
AGIS,Rank 3,4,9,14
AGIS,Rank 3,4,9,11
AGIS,Rank 3,4,9,10
AGIS,Rank 3,4,19,18
AGIS,Rank 3,4,19,20
AGIS,Rank 3,4,19,17
AGIS,Rank 3,4,19,22
AGIS,Rank 3,4,19,7
AGIS,Rank 3,4,19,21
AGIS,Rank 3,4,3,16
AGIS,Rank 3,4,3,4
AGIS,Rank 3,4,3,2
AGIS,Rank 3,4,3,1
AGIS,Rank 3,4,3,15
AGIS,Rank 3,4,3,6
AGIS,Rank 3,4,3,0
AGIS,Rank 4,2,9,8
AGIS,Rank 4,2,9,24
AGIS,Rank 4,2,9,5
AGIS,Rank 4,2,9,23
AGIS,Rank 4,2,9,12
AGIS,Rank 4,2,19,18
AGIS,Rank 4,2,19,20
AGIS,Rank 4,2,19,17
AGIS,Rank 4,2,19,22
AGIS,Rank 4,2,19,7
AGIS,Rank 4,2,19,21
AGIS,Rank 4,2,6,1
AGIS,Rank 4,2,6,4
AGIS,Rank 4,2,10,14
AGIS,Rank 4,2,10,11
AGIS,Rank 4,2,10,13
AGIS,Rank 4,3,5,6
AGIS,Rank 4,3,5,4
AGIS,Rank 4,3,5,1
AGIS,Rank 4,3,7,19
AGIS,Rank 4,3,7,21
AGIS,Rank 4,3,7,20
AGIS,Rank 4,3,2,23
AGIS,Rank 4,3,2,22
AGIS,Rank 4,3,9,8
AGIS,Rank 4,3,9,24
AGIS,Rank 4,3,9,23
AGIS,Rank 4,3,9,13
AGIS,Rank 4,3,9,12
AGIS,Rank 4,3,9,18
AGIS,Rank 4,3,9,14
AGIS,Rank 4,3,9,11
AGIS,Rank 4,3,9,17
AGIS,Rank 4,3,9,10
AGIS,Rank 4,3,9,22
AGIS,Rank 4,4,9,8
AGIS,Rank 4,4,9,24
AGIS,Rank 4,4,9,5
AGIS,Rank 4,4,9,13
AGIS,Rank 4,4,9,23
AGIS,Rank 4,4,9,12
AGIS,Rank 4,4,9,14
AGIS,Rank 4,4,9,11
AGIS,Rank 4,4,9,10
AGIS,Rank 4,4,19,18
AGIS,Rank 4,4,19,20
AGIS,Rank 4,4,19,17
AGIS,Rank 4,4,19,22
AGIS,Rank 4,4,19,7
AGIS,Rank 4,4,19,21
AGIS,Rank 4,4,3,15
AGIS,Rank 4,4,3,0
AGIS,Rank 4,4,3,16
AGIS,Rank 4,4,3,2
AGIS,Rank 4,4,6,1
AGIS,Rank 4,4,6,4
AGIS,Rank 5,2,9,8
AGIS,Rank 5,2,9,24
AGIS,Rank 5,2,9,5
AGIS,Rank 5,2,9,23
AGIS,Rank 5,2,9,12
AGIS,Rank 5,2,19,18
AGIS,Rank 5,2,19,20
AGIS,Rank 5,2,19,17
AGIS,Rank 5,2,19,22
AGIS,Rank 5,2,19,7
AGIS,Rank 5,2,19,21
AGIS,Rank 5,2,6,1
AGIS,Rank 5,2,6,4
AGIS,Rank 5,2,10,14
AGIS,Rank 5,2,10,11
AGIS,Rank 5,2,10,13
AGIS,Rank 5,2,3,16
AGIS,Rank 5,2,3,15
AGIS,Rank 5,2,3,2
AGIS,Rank 5,2,3,0
AGIS,Rank 5,3,5,6
AGIS,Rank 5,3,5,4
AGIS,Rank 5,3,5,1
AGIS,Rank 5,3,7,19
AGIS,Rank 5,3,7,21
AGIS,Rank 5,3,7,20
AGIS,Rank 5,3,2,23
AGIS,Rank 5,3,2,22
AGIS,Rank 5,3,9,8
AGIS,Rank 5,3,9,24
AGIS,Rank 5,3,9,13
AGIS,Rank 5,3,9,12
AGIS,Rank 5,3,9,18
AGIS,Rank 5,3,9,14
AGIS,Rank 5,3,9,11
AGIS,Rank 5,3,9,17
AGIS,Rank 5,3,9,10
AGIS,Rank 5,3,3,15
AGIS,Rank 5,3,3,0
AGIS,Rank 5,3,3,16
AGIS,Rank 5,4,9,8
AGIS,Rank 5,4,9,24
AGIS,Rank 5,4,9,5
AGIS,Rank 5,4,9,13
AGIS,Rank 5,4,9,12
AGIS,Rank 5,4,9,14
AGIS,Rank 5,4,9,11
AGIS,Rank 5,4,9,10
AGIS,Rank 5,4,19,18
AGIS,Rank 5,4,19,20
AGIS,Rank 5,4,19,17
AGIS,Rank 5,4,19,22
AGIS,Rank 5,4,19,7
AGIS,Rank 5,4,19,21
AGIS,Rank 5,4,3,15
AGIS,Rank 5,4,3,0
AGIS,Rank 5,4,3,16
AGIS,Rank 5,4,6,1
AGIS,Rank 5,4,6,4
AGIS,Rank 5,4,2,23
ARN.GRAPHML,Rank 1,2,22,4
ARN.GRAPHML,Rank 1,2,22,29
ARN.GRAPHML,Rank 1,2,22,9
ARN.GRAPHML,Rank 1,2,22,15
ARN.GRAPHML,Rank 1,2,22,19
ARN.GRAPHML,Rank 1,2,22,27
ARN.GRAPHML,Rank 1,2,22,18
ARN.GRAPHML,Rank 1,2,22,25
ARN.GRAPHML,Rank 1,2,22,17
ARN.GRAPHML,Rank 1,2,22,10
ARN.GRAPHML,Rank 1,2,22,7
ARN.GRAPHML,Rank 1,2,22,21
ARN.GRAPHML,Rank 1,2,22,26
ARN.GRAPHML,Rank 1,2,22,2
ARN.GRAPHML,Rank 1,2,22,23
ARN.GRAPHML,Rank 1,2,22,5
ARN.GRAPHML,Rank 1,2,22,14
ARN.GRAPHML,Rank 1,2,22,11
ARN.GRAPHML,Rank 1,2,22,6
ARN.GRAPHML,Rank 1,2,22,16
ARN.GRAPHML,Rank 1,2,22,28
ARN.GRAPHML,Rank 1,2,22,8
ARN.GRAPHML,Rank 1,2,22,24
ARN.GRAPHML,Rank 1,2,22,1
ARN.GRAPHML,Rank 1,2,22,13
ARN.GRAPHML,Rank 1,2,22,12
ARN.GRAPHML,Rank 1,2,22,20
ARN.GRAPHML,Rank 1,2,22,3
ARN.GRAPHML,Rank 1,2,22,0
ARN.GRAPHML,Rank 1,3,8,4
ARN.GRAPHML,Rank 1,3,8,29
ARN.GRAPHML,Rank 1,3,8,9
ARN.GRAPHML,Rank 1,3,8,15
ARN.GRAPHML,Rank 1,3,8,19
ARN.GRAPHML,Rank 1,3,8,27
ARN.GRAPHML,Rank 1,3,8,18
ARN.GRAPHML,Rank 1,3,8,25
ARN.GRAPHML,Rank 1,3,8,17
ARN.GRAPHML,Rank 1,3,8,10
ARN.GRAPHML,Rank 1,3,8,7
ARN.GRAPHML,Rank 1,3,8,21
ARN.GRAPHML,Rank 1,3,8,26
ARN.GRAPHML,Rank 1,3,8,2
ARN.GRAPHML,Rank 1,3,8,5
ARN.GRAPHML,Rank 1,3,8,23
ARN.GRAPHML,Rank 1,3,8,14
ARN.GRAPHML,Rank 1,3,8,11
ARN.GRAPHML,Rank 1,3,8,6
ARN.GRAPHML,Rank 1,3,8,16
ARN.GRAPHML,Rank 1,3,8,28
ARN.GRAPHML,Rank 1,3,8,24
ARN.GRAPHML,Rank 1,3,8,13
ARN.GRAPHML,Rank 1,3,8,1
ARN.GRAPHML,Rank 1,3,8,12
ARN.GRAPHML,Rank 1,3,8,20
ARN.GRAPHML,Rank 1,3,8,22
ARN.GRAPHML,Rank 1,3,8,3
ARN.GRAPHML,Rank 1,3,8,0
ARN.GRAPHML,Rank 1,4,7,4
ARN.GRAPHML,Rank 1,4,7,29
ARN.GRAPHML,Rank 1,4,7,9
ARN.GRAPHML,Rank 1,4,7,15
ARN.GRAPHML,Rank 1,4,7,19
ARN.GRAPHML,Rank 1,4,7,27
ARN.GRAPHML,Rank 1,4,7,18
ARN.GRAPHML,Rank 1,4,7,25
ARN.GRAPHML,Rank 1,4,7,17
ARN.GRAPHML,Rank 1,4,7,10
ARN.GRAPHML,Rank 1,4,7,21
ARN.GRAPHML,Rank 1,4,7,26
ARN.GRAPHML,Rank 1,4,7,2
ARN.GRAPHML,Rank 1,4,7,23
ARN.GRAPHML,Rank 1,4,7,5
ARN.GRAPHML,Rank 1,4,7,14
ARN.GRAPHML,Rank 1,4,7,11
ARN.GRAPHML,Rank 1,4,7,6
ARN.GRAPHML,Rank 1,4,7,16
ARN.GRAPHML,Rank 1,4,7,28
ARN.GRAPHML,Rank 1,4,7,8
ARN.GRAPHML,Rank 1,4,7,24
ARN.GRAPHML,Rank 1,4,7,1
ARN.GRAPHML,Rank 1,4,7,13
ARN.GRAPHML,Rank 1,4,7,12
ARN.GRAPHML,Rank 1,4,7,20
ARN.GRAPHML,Rank 1,4,7,22
ARN.GRAPHML,Rank 1,4,7,3
ARN.GRAPHML,Rank 1,4,7,0
ARN.GRAPHML,Rank 2,2,22,4
ARN.GRAPHML,Rank 2,2,22,29
ARN.GRAPHML,Rank 2,2,22,27
ARN.GRAPHML,Rank 2,2,22,25
ARN.GRAPHML,Rank 2,2,22,17
ARN.GRAPHML,Rank 2,2,22,7
ARN.GRAPHML,Rank 2,2,22,21
ARN.GRAPHML,Rank 2,2,22,26
ARN.GRAPHML,Rank 2,2,22,2
ARN.GRAPHML,Rank 2,2,22,23
ARN.GRAPHML,Rank 2,2,22,11
ARN.GRAPHML,Rank 2,2,22,6
ARN.GRAPHML,Rank 2,2,22,16
ARN.GRAPHML,Rank 2,2,22,28
ARN.GRAPHML,Rank 2,2,22,24
ARN.GRAPHML,Rank 2,2,22,1
ARN.GRAPHML,Rank 2,2,22,20
ARN.GRAPHML,Rank 2,2,22,3
ARN.GRAPHML,Rank 2,2,22,0
