Graph Name,No of sources of Evidences,Controller,Allocated Switch
ARN.GRAPHML,4,18,15
ARN.GRAPHML,4,18,5
ARN.GRAPHML,4,18,10
ARN.GRAPHML,4,18,12
ARN.GRAPHML,4,18,19
ARN.GRAPHML,4,18,14
ARN.GRAPHML,4,18,13
ARN.GRAPHML,4,18,9
BELLCANADA,2,33,30
BELLCANADA,2,33,32
BELLCANADA,2,2,39
BELLCANADA,2,2,0
BELLCANADA,2,2,46
BELLCANADA,2,2,6
BELLCANADA,2,2,3
BELLCANADA,2,2,1
BELLCANADA,2,4,5
BELLCANADA,2,4,7
BELLCANADA,2,27,38
BELLCANADA,2,27,26
BELLCANADA,2,16,15
BELLCANADA,2,16,10
BELLCANADA,2,16,23
BELLCANADA,2,16,18
BELLCANADA,2,16,19
BELLCANADA,2,16,17
BELLCANADA,2,31,41
BELLCANADA,2,31,40
BELLCANADA,2,31,35
BELLCANADA,2,31,36
BELLCANADA,2,31,37
BELLCANADA,2,8,9
BELLCANADA,2,14,13
BELLCANADA,2,14,12
BELLCANADA,2,21,24
BELLCANADA,2,21,25
BELLCANADA,2,21,22
BELLCANADA,2,21,20
BELLCANADA,2,21,11
BELLCANADA,2,29,43
BELLCANADA,2,29,42
BELLCANADA,2,29,28
BELLCANADA,2,29,34
BELLCANADA,2,45,47
BELLCANADA,2,45,44
BELLCANADA,3,1,7
BELLCANADA,3,1,6
BELLCANADA,3,2,4
BELLCANADA,3,2,39
BELLCANADA,3,2,45
BELLCANADA,3,2,46
BELLCANADA,3,2,3
BELLCANADA,3,2,0
BELLCANADA,3,2,44
BELLCANADA,3,8,5
BELLCANADA,3,8,9
BELLCANADA,3,12,41
BELLCANADA,3,12,40
BELLCANADA,3,12,28
BELLCANADA,3,12,35
BELLCANADA,3,12,42
BELLCANADA,3,12,14
BELLCANADA,3,16,15
BELLCANADA,3,16,10
BELLCANADA,3,16,23
BELLCANADA,3,16,18
BELLCANADA,3,16,19
BELLCANADA,3,16,17
BELLCANADA,3,33,31
BELLCANADA,3,33,32
BELLCANADA,3,33,36
BELLCANADA,3,33,30
BELLCANADA,3,33,37
BELLCANADA,3,27,47
BELLCANADA,3,27,38
BELLCANADA,3,27,26
BELLCANADA,3,21,24
BELLCANADA,3,21,25
BELLCANADA,3,21,22
BELLCANADA,3,21,20
BELLCANADA,3,21,11
BELLCANADA,3,13,43
BELLCANADA,3,13,34
BELLCANADA,3,13,29
BELLCANADA,4,2,4
BELLCANADA,4,2,39
BELLCANADA,4,2,45
BELLCANADA,4,2,46
BELLCANADA,4,2,3
BELLCANADA,4,2,7
BELLCANADA,4,2,0
BELLCANADA,4,2,44
BELLCANADA,4,1,6
BELLCANADA,4,8,5
BELLCANADA,4,8,9
BELLCANADA,4,12,41
BELLCANADA,4,12,40
BELLCANADA,4,12,28
BELLCANADA,4,12,35
BELLCANADA,4,12,42
BELLCANADA,4,12,14
BELLCANADA,4,33,31
BELLCANADA,4,33,32
BELLCANADA,4,33,36
BELLCANADA,4,33,30
BELLCANADA,4,33,37
BELLCANADA,4,16,15
BELLCANADA,4,16,23
BELLCANADA,4,21,24
BELLCANADA,4,21,25
BELLCANADA,4,21,22
BELLCANADA,4,21,20
BELLCANADA,4,21,11
BELLCANADA,4,27,47
BELLCANADA,4,27,38
BELLCANADA,4,27,26
BELLCANADA,4,13,43
BELLCANADA,4,13,34
BELLCANADA,4,13,29
BELLCANADA,4,17,10
BELLCANADA,4,17,19
BELLCANADA,4,17,18
BELLSOUTH.GRAPHML,2,35,40
BELLSOUTH.GRAPHML,2,35,28
BELLSOUTH.GRAPHML,2,35,15
BELLSOUTH.GRAPHML,2,35,24
BELLSOUTH.GRAPHML,2,35,45
BELLSOUTH.GRAPHML,2,35,47
BELLSOUTH.GRAPHML,2,35,36
BELLSOUTH.GRAPHML,2,35,20
BELLSOUTH.GRAPHML,2,35,12
BELLSOUTH.GRAPHML,2,35,33
BELLSOUTH.GRAPHML,2,35,29
BELLSOUTH.GRAPHML,2,35,17
BELLSOUTH.GRAPHML,2,35,13
BELLSOUTH.GRAPHML,2,35,14
BELLSOUTH.GRAPHML,2,35,5
BELLSOUTH.GRAPHML,2,35,7
BELLSOUTH.GRAPHML,2,35,16
BELLSOUTH.GRAPHML,2,35,30
BELLSOUTH.GRAPHML,2,35,21
BELLSOUTH.GRAPHML,2,35,11
BELLSOUTH.GRAPHML,2,35,8
BELLSOUTH.GRAPHML,2,35,23
BELLSOUTH.GRAPHML,2,35,25
BELLSOUTH.GRAPHML,2,35,19
BELLSOUTH.GRAPHML,2,35,0
BELLSOUTH.GRAPHML,2,35,1
BELLSOUTH.GRAPHML,2,35,9
BELLSOUTH.GRAPHML,2,35,27
BELLSOUTH.GRAPHML,2,35,4
BELLSOUTH.GRAPHML,2,35,34
BELLSOUTH.GRAPHML,2,35,10
BELLSOUTH.GRAPHML,2,35,43
BELLSOUTH.GRAPHML,2,35,46
BELLSOUTH.GRAPHML,2,35,44
BELLSOUTH.GRAPHML,2,35,26
BELLSOUTH.GRAPHML,2,35,48
BELLSOUTH.GRAPHML,2,31,38
BELLSOUTH.GRAPHML,2,31,39
BELLSOUTH.GRAPHML,2,31,32
BELLSOUTH.GRAPHML,2,31,18
BELLSOUTH.GRAPHML,2,31,6
BELLSOUTH.GRAPHML,2,31,22
BELLSOUTH.GRAPHML,2,31,37
BELLSOUTH.GRAPHML,2,49,41
BELLSOUTH.GRAPHML,2,49,50
BELLSOUTH.GRAPHML,2,49,2
BELLSOUTH.GRAPHML,2,49,42
BELLSOUTH.GRAPHML,2,49,3
BELLSOUTH.GRAPHML,3,5,36
BELLSOUTH.GRAPHML,3,5,8
BELLSOUTH.GRAPHML,3,5,46
BELLSOUTH.GRAPHML,3,5,9
BELLSOUTH.GRAPHML,3,31,41
BELLSOUTH.GRAPHML,3,31,40
BELLSOUTH.GRAPHML,3,31,28
BELLSOUTH.GRAPHML,3,31,18
BELLSOUTH.GRAPHML,3,31,20
BELLSOUTH.GRAPHML,3,31,12
BELLSOUTH.GRAPHML,3,31,33
BELLSOUTH.GRAPHML,3,31,17
BELLSOUTH.GRAPHML,3,31,35
BELLSOUTH.GRAPHML,3,31,50
BELLSOUTH.GRAPHML,3,31,42
BELLSOUTH.GRAPHML,3,31,6
BELLSOUTH.GRAPHML,3,31,7
BELLSOUTH.GRAPHML,3,31,30
BELLSOUTH.GRAPHML,3,31,21
BELLSOUTH.GRAPHML,3,31,11
BELLSOUTH.GRAPHML,3,31,38
BELLSOUTH.GRAPHML,3,31,39
BELLSOUTH.GRAPHML,3,31,2
BELLSOUTH.GRAPHML,3,31,25
BELLSOUTH.GRAPHML,3,31,22
BELLSOUTH.GRAPHML,3,31,37
BELLSOUTH.GRAPHML,3,31,19
BELLSOUTH.GRAPHML,3,31,0
BELLSOUTH.GRAPHML,3,31,27
BELLSOUTH.GRAPHML,3,31,32
BELLSOUTH.GRAPHML,3,31,34
BELLSOUTH.GRAPHML,3,31,43
BELLSOUTH.GRAPHML,3,31,48
BELLSOUTH.GRAPHML,3,31,3
BELLSOUTH.GRAPHML,3,31,49
BELLSOUTH.GRAPHML,3,31,29
BELLSOUTH.GRAPHML,3,15,10
BELLSOUTH.GRAPHML,3,15,16
BELLSOUTH.GRAPHML,3,15,13
BELLSOUTH.GRAPHML,3,15,14
BELLSOUTH.GRAPHML,3,1,4
BELLSOUTH.GRAPHML,3,23,47
BELLSOUTH.GRAPHML,3,23,26
BELLSOUTH.GRAPHML,3,23,24
BELLSOUTH.GRAPHML,3,45,44
BELLSOUTH.GRAPHML,4,46,8
BELLSOUTH.GRAPHML,4,46,15
BELLSOUTH.GRAPHML,4,46,5
BELLSOUTH.GRAPHML,4,46,10
BELLSOUTH.GRAPHML,4,46,36
BELLSOUTH.GRAPHML,4,46,16
BELLSOUTH.GRAPHML,4,46,14
BELLSOUTH.GRAPHML,4,46,13
BELLSOUTH.GRAPHML,4,46,9
BELLSOUTH.GRAPHML,4,50,3
BELLSOUTH.GRAPHML,4,50,41
BELLSOUTH.GRAPHML,4,33,40
BELLSOUTH.GRAPHML,4,42,2
BELLSOUTH.GRAPHML,4,28,27
BELLSOUTH.GRAPHML,4,28,30
BELLSOUTH.GRAPHML,4,28,29
BELLSOUTH.GRAPHML,4,48,35
BELLSOUTH.GRAPHML,4,48,45
BELLSOUTH.GRAPHML,4,48,7
BELLSOUTH.GRAPHML,4,48,0
BELLSOUTH.GRAPHML,4,48,44
BELLSOUTH.GRAPHML,4,21,20
BELLSOUTH.GRAPHML,4,21,19
BELLSOUTH.GRAPHML,4,26,47
BELLSOUTH.GRAPHML,4,26,24
BELLSOUTH.GRAPHML,4,26,23
BELLSOUTH.GRAPHML,4,26,6
BELLSOUTH.GRAPHML,4,49,4
BELLSOUTH.GRAPHML,4,49,1
BELLSOUTH.GRAPHML,4,31,38
BELLSOUTH.GRAPHML,4,31,32
BELLSOUTH.GRAPHML,4,31,34
BELLSOUTH.GRAPHML,4,31,39
BELLSOUTH.GRAPHML,4,31,43
BELLSOUTH.GRAPHML,4,31,18
BELLSOUTH.GRAPHML,4,31,25
BELLSOUTH.GRAPHML,4,31,22
BELLSOUTH.GRAPHML,4,31,37
BELLSOUTH.GRAPHML,4,31,12
BELLSOUTH.GRAPHML,4,31,17
BELLSOUTH.GRAPHML,4,31,11
BICS.GRAPHML,2,19,8
BICS.GRAPHML,2,19,24
BICS.GRAPHML,2,19,2
BICS.GRAPHML,2,19,23
BICS.GRAPHML,2,19,25
BICS.GRAPHML,2,19,20
BICS.GRAPHML,2,19,9
BICS.GRAPHML,2,19,11
BICS.GRAPHML,2,14,3
BICS.GRAPHML,2,14,12
BICS.GRAPHML,2,13,4
BICS.GRAPHML,2,13,10
BICS.GRAPHML,2,13,16
BICS.GRAPHML,2,13,30
BICS.GRAPHML,2,22,31
BICS.GRAPHML,2,22,28
BICS.GRAPHML,2,22,29
BICS.GRAPHML,2,15,32
BICS.GRAPHML,2,21,27
BICS.GRAPHML,2,21,26
BICS.GRAPHML,2,1,5
BICS.GRAPHML,2,1,18
BICS.GRAPHML,2,1,6
BICS.GRAPHML,2,1,7
BICS.GRAPHML,2,1,0
BICS.GRAPHML,2,1,17
BICS.GRAPHML,3,13,31
BICS.GRAPHML,3,13,4
BICS.GRAPHML,3,13,32
BICS.GRAPHML,3,13,15
BICS.GRAPHML,3,13,10
BICS.GRAPHML,3,13,23
BICS.GRAPHML,3,13,19
BICS.GRAPHML,3,12,14
BICS.GRAPHML,3,12,11
BICS.GRAPHML,3,24,2
BICS.GRAPHML,3,24,25
BICS.GRAPHML,3,20,3
BICS.GRAPHML,3,20,21
BICS.GRAPHML,3,20,27
BICS.GRAPHML,3,20,26
BICS.GRAPHML,3,5,8
BICS.GRAPHML,3,5,18
BICS.GRAPHML,3,5,6
BICS.GRAPHML,3,5,7
BICS.GRAPHML,3,5,0
BICS.GRAPHML,3,5,17
BICS.GRAPHML,3,5,9
BICS.GRAPHML,3,16,30
BICS.GRAPHML,3,16,1
BICS.GRAPHML,3,28,22
BICS.GRAPHML,3,28,29
BICS.GRAPHML,4,14,27
BICS.GRAPHML,4,14,3
BICS.GRAPHML,4,14,20
BICS.GRAPHML,4,14,12
BICS.GRAPHML,4,14,21
BICS.GRAPHML,4,14,26
BICS.GRAPHML,4,13,4
BICS.GRAPHML,4,13,10
BICS.GRAPHML,4,15,31
BICS.GRAPHML,4,15,32
BICS.GRAPHML,4,19,24
BICS.GRAPHML,4,19,2
BICS.GRAPHML,4,19,23
BICS.GRAPHML,4,19,1
BICS.GRAPHML,4,19,11
BICS.GRAPHML,4,22,28
BICS.GRAPHML,4,22,29
BICS.GRAPHML,4,5,6
BICS.GRAPHML,4,5,18
BICS.GRAPHML,4,5,7
BICS.GRAPHML,4,5,0
BICS.GRAPHML,4,5,17
BICS.GRAPHML,4,16,30
BICS.GRAPHML,4,8,9
BICS.GRAPHML,4,8,25
CERNET.GRAPHML,2,21,31
CERNET.GRAPHML,2,21,40
CERNET.GRAPHML,2,21,17
CERNET.GRAPHML,2,21,15
CERNET.GRAPHML,2,21,39
CERNET.GRAPHML,2,21,34
CERNET.GRAPHML,2,21,5
CERNET.GRAPHML,2,21,10
CERNET.GRAPHML,2,21,23
CERNET.GRAPHML,2,21,18
CERNET.GRAPHML,2,21,22
CERNET.GRAPHML,2,21,16
CERNET.GRAPHML,2,21,19
CERNET.GRAPHML,2,21,13
CERNET.GRAPHML,2,21,14
CERNET.GRAPHML,2,21,11
CERNET.GRAPHML,2,24,4
CERNET.GRAPHML,2,24,8
CERNET.GRAPHML,2,24,32
CERNET.GRAPHML,2,24,2
CERNET.GRAPHML,2,24,25
CERNET.GRAPHML,2,24,6
CERNET.GRAPHML,2,24,7
CERNET.GRAPHML,2,24,3
CERNET.GRAPHML,2,24,20
CERNET.GRAPHML,2,24,0
CERNET.GRAPHML,2,24,9
CERNET.GRAPHML,2,24,1
CERNET.GRAPHML,2,28,27
CERNET.GRAPHML,2,28,30
CERNET.GRAPHML,2,28,12
CERNET.GRAPHML,2,28,26
CERNET.GRAPHML,2,28,29
CERNET.GRAPHML,2,37,36
CERNET.GRAPHML,2,37,33
CERNET.GRAPHML,2,37,38
CERNET.GRAPHML,2,37,35
CERNET.GRAPHML,3,9,4
CERNET.GRAPHML,3,9,8
CERNET.GRAPHML,3,9,25
CERNET.GRAPHML,3,9,6
CERNET.GRAPHML,3,9,7
CERNET.GRAPHML,3,9,0
CERNET.GRAPHML,3,20,31
CERNET.GRAPHML,3,20,28
CERNET.GRAPHML,3,20,2
CERNET.GRAPHML,3,20,24
CERNET.GRAPHML,3,26,30
CERNET.GRAPHML,3,26,23
CERNET.GRAPHML,3,26,29
CERNET.GRAPHML,3,38,36
CERNET.GRAPHML,3,38,33
CERNET.GRAPHML,3,38,35
CERNET.GRAPHML,3,38,37
CERNET.GRAPHML,3,14,16
CERNET.GRAPHML,3,14,17
CERNET.GRAPHML,3,14,15
CERNET.GRAPHML,3,12,27
CERNET.GRAPHML,3,12,13
CERNET.GRAPHML,3,39,40
CERNET.GRAPHML,3,39,34
CERNET.GRAPHML,3,39,5
CERNET.GRAPHML,3,39,10
CERNET.GRAPHML,3,39,18
CERNET.GRAPHML,3,39,22
CERNET.GRAPHML,3,39,19
CERNET.GRAPHML,3,39,21
CERNET.GRAPHML,3,39,11
CERNET.GRAPHML,3,1,3
CERNET.GRAPHML,3,1,32
CERNET.GRAPHML,4,38,36
CERNET.GRAPHML,4,38,33
CERNET.GRAPHML,4,38,35
CERNET.GRAPHML,4,38,37
CERNET.GRAPHML,4,39,31
CERNET.GRAPHML,4,39,40
CERNET.GRAPHML,4,39,34
CERNET.GRAPHML,4,39,5
CERNET.GRAPHML,4,39,10
CERNET.GRAPHML,4,39,23
CERNET.GRAPHML,4,39,18
CERNET.GRAPHML,4,39,22
CERNET.GRAPHML,4,39,19
CERNET.GRAPHML,4,39,21
CERNET.GRAPHML,4,39,13
CERNET.GRAPHML,4,39,11
CERNET.GRAPHML,4,16,17
CERNET.GRAPHML,4,16,14
CERNET.GRAPHML,4,16,15
CERNET.GRAPHML,4,30,29
CERNET.GRAPHML,4,26,9
CERNET.GRAPHML,4,27,28
CERNET.GRAPHML,4,27,12
CERNET.GRAPHML,4,20,24
CERNET.GRAPHML,4,32,3
CERNET.GRAPHML,4,32,2
CERNET.GRAPHML,4,32,1
CERNET.GRAPHML,4,25,4
CERNET.GRAPHML,4,25,8
CERNET.GRAPHML,4,25,6
CERNET.GRAPHML,4,25,7
CERNET.GRAPHML,4,25,0
CESNET200706.GRAPHML,2,40,31
CESNET200706.GRAPHML,2,40,41
CESNET200706.GRAPHML,2,40,18
CESNET200706.GRAPHML,2,40,36
CESNET200706.GRAPHML,2,40,20
CESNET200706.GRAPHML,2,40,12
CESNET200706.GRAPHML,2,40,33
CESNET200706.GRAPHML,2,40,13
CESNET200706.GRAPHML,2,40,14
CESNET200706.GRAPHML,2,40,35
CESNET200706.GRAPHML,2,40,42
CESNET200706.GRAPHML,2,40,30
CESNET200706.GRAPHML,2,40,21
CESNET200706.GRAPHML,2,40,38
CESNET200706.GRAPHML,2,40,39
CESNET200706.GRAPHML,2,40,25
CESNET200706.GRAPHML,2,40,37
CESNET200706.GRAPHML,2,40,1
CESNET200706.GRAPHML,2,40,27
CESNET200706.GRAPHML,2,40,32
CESNET200706.GRAPHML,2,40,34
CESNET200706.GRAPHML,2,40,3
CESNET200706.GRAPHML,2,7,4
CESNET200706.GRAPHML,2,7,8
CESNET200706.GRAPHML,2,7,28
CESNET200706.GRAPHML,2,7,24
CESNET200706.GRAPHML,2,7,5
CESNET200706.GRAPHML,2,7,10
CESNET200706.GRAPHML,2,7,23
CESNET200706.GRAPHML,2,7,6
CESNET200706.GRAPHML,2,7,22
CESNET200706.GRAPHML,2,7,16
CESNET200706.GRAPHML,2,7,19
CESNET200706.GRAPHML,2,7,29
CESNET200706.GRAPHML,2,7,17
CESNET200706.GRAPHML,2,7,9
CESNET200706.GRAPHML,2,7,11
CESNET200706.GRAPHML,2,43,2
CESNET200706.GRAPHML,2,43,26
CESNET200706.GRAPHML,2,0,15
CESNET200706.GRAPHML,3,28,10
CESNET200706.GRAPHML,3,28,16
CESNET200706.GRAPHML,3,28,9
CESNET200706.GRAPHML,3,28,29
CESNET200706.GRAPHML,3,15,0
CESNET200706.GRAPHML,3,18,3
CESNET200706.GRAPHML,3,18,21
CESNET200706.GRAPHML,3,18,30
CESNET200706.GRAPHML,3,14,38
CESNET200706.GRAPHML,3,14,39
CESNET200706.GRAPHML,3,20,41
CESNET200706.GRAPHML,3,22,5
CESNET200706.GRAPHML,3,36,37
CESNET200706.GRAPHML,3,43,31
CESNET200706.GRAPHML,3,43,27
CESNET200706.GRAPHML,3,43,40
CESNET200706.GRAPHML,3,43,35
CESNET200706.GRAPHML,3,43,32
CESNET200706.GRAPHML,3,43,34
CESNET200706.GRAPHML,3,43,42
CESNET200706.GRAPHML,3,43,2
CESNET200706.GRAPHML,3,43,25
CESNET200706.GRAPHML,3,43,12
CESNET200706.GRAPHML,3,43,1
CESNET200706.GRAPHML,3,43,33
CESNET200706.GRAPHML,3,43,13
CESNET200706.GRAPHML,3,43,26
CESNET200706.GRAPHML,3,7,4
CESNET200706.GRAPHML,3,7,8
CESNET200706.GRAPHML,3,7,24
CESNET200706.GRAPHML,3,7,23
CESNET200706.GRAPHML,3,7,6
CESNET200706.GRAPHML,3,7,19
CESNET200706.GRAPHML,3,7,17
CESNET200706.GRAPHML,3,7,11
CESNET200706.GRAPHML,4,6,4
CESNET200706.GRAPHML,4,6,8
CESNET200706.GRAPHML,4,6,28
CESNET200706.GRAPHML,4,6,15
CESNET200706.GRAPHML,4,6,24
CESNET200706.GRAPHML,4,6,5
CESNET200706.GRAPHML,4,6,10
CESNET200706.GRAPHML,4,6,23
CESNET200706.GRAPHML,4,6,7
CESNET200706.GRAPHML,4,6,19
CESNET200706.GRAPHML,4,6,22
CESNET200706.GRAPHML,4,6,16
CESNET200706.GRAPHML,4,6,0
CESNET200706.GRAPHML,4,6,29
CESNET200706.GRAPHML,4,6,17
CESNET200706.GRAPHML,4,6,9
CESNET200706.GRAPHML,4,6,11
CESNET200706.GRAPHML,4,12,31
CESNET200706.GRAPHML,4,12,27
CESNET200706.GRAPHML,4,12,40
CESNET200706.GRAPHML,4,12,38
CESNET200706.GRAPHML,4,12,35
CESNET200706.GRAPHML,4,12,39
CESNET200706.GRAPHML,4,12,32
CESNET200706.GRAPHML,4,12,34
CESNET200706.GRAPHML,4,12,42
CESNET200706.GRAPHML,4,12,25
CESNET200706.GRAPHML,4,12,1
CESNET200706.GRAPHML,4,12,33
CESNET200706.GRAPHML,4,12,13
CESNET200706.GRAPHML,4,12,14
CESNET200706.GRAPHML,4,36,37
CESNET200706.GRAPHML,4,30,3
CESNET200706.GRAPHML,4,30,21
CESNET200706.GRAPHML,4,30,18
CESNET200706.GRAPHML,4,20,41
CESNET200706.GRAPHML,4,43,2
CESNET200706.GRAPHML,4,43,26
CHINANET.GRAPHML,2,39,41
CHINANET.GRAPHML,2,39,40
CHINANET.GRAPHML,2,39,35
CHINANET.GRAPHML,2,39,32
CHINANET.GRAPHML,2,39,34
CHINANET.GRAPHML,2,39,10
CHINANET.GRAPHML,2,39,0
CHINANET.GRAPHML,2,39,2
CHINANET.GRAPHML,2,39,6
CHINANET.GRAPHML,2,39,36
CHINANET.GRAPHML,2,39,7
CHINANET.GRAPHML,2,39,3
CHINANET.GRAPHML,2,39,18
CHINANET.GRAPHML,2,39,19
CHINANET.GRAPHML,2,39,33
CHINANET.GRAPHML,2,39,1
CHINANET.GRAPHML,2,38,5
CHINANET.GRAPHML,2,38,37
CHINANET.GRAPHML,2,8,31
CHINANET.GRAPHML,2,8,4
CHINANET.GRAPHML,2,8,24
CHINANET.GRAPHML,2,8,9
CHINANET.GRAPHML,2,8,16
CHINANET.GRAPHML,2,8,26
CHINANET.GRAPHML,2,8,11
CHINANET.GRAPHML,2,28,15
CHINANET.GRAPHML,2,28,22
CHINANET.GRAPHML,2,28,12
CHINANET.GRAPHML,2,28,21
CHINANET.GRAPHML,2,28,17
CHINANET.GRAPHML,2,28,14
CHINANET.GRAPHML,2,28,29
CHINANET.GRAPHML,2,23,20
CHINANET.GRAPHML,2,27,30
CHINANET.GRAPHML,2,25,13
CHINANET.GRAPHML,3,5,38
CHINANET.GRAPHML,3,5,37
CHINANET.GRAPHML,3,30,27
CHINANET.GRAPHML,3,20,23
CHINANET.GRAPHML,3,41,35
CHINANET.GRAPHML,3,41,39
CHINANET.GRAPHML,3,41,34
CHINANET.GRAPHML,3,41,10
CHINANET.GRAPHML,3,41,36
CHINANET.GRAPHML,3,41,7
CHINANET.GRAPHML,3,41,19
CHINANET.GRAPHML,3,2,33
CHINANET.GRAPHML,3,3,0
CHINANET.GRAPHML,3,28,15
CHINANET.GRAPHML,3,28,22
CHINANET.GRAPHML,3,28,16
CHINANET.GRAPHML,3,28,12
CHINANET.GRAPHML,3,28,21
CHINANET.GRAPHML,3,28,17
CHINANET.GRAPHML,3,28,14
CHINANET.GRAPHML,3,28,29
CHINANET.GRAPHML,3,8,31
